PROGRAM_ID,TITLE,Generated_Tags,Actual_Tags,Matching_Tags_Count
tt0062909,Dracula Has Risen from the Grave,['violence' 'gothic' 'cult' 'good versus evil'],['cult' 'gothic' 'revenge'],2
tt0118159,White Tiger,['violence'],['murder'],0
tt0357139,Scooby-Doo! And the Legend of the Vampire,['horror' 'cult'],['horror' 'psychedelic'],1
tt0120188,Three Kings,['violence' 'murder'],"['anti war' 'comedy' 'humor' 'murder' 'satire' 'suspenseful'
 'thought-provoking' 'violence']",2
tt2882328,Ugly,['murder' 'flashback'],['flashback'],1
tt0094332,The Witches of Eastwick,['paranormal' 'revenge'],['comedy'],0
tt1334553,The Perfect Host,['murder' 'violence' 'cult'],['flashback' 'plot twist' 'psychedelic'],0
tt1337057,Rampage,['violence' 'murder' 'cult' 'comedy' 'flashback'],['dark' 'murder' 'violence'],2
tt0077235,Big Wednesday,['melodrama'],['cult' 'philosophical'],0
tt0775489,L'illusionniste,['psychedelic' 'comedy'],['tragedy'],0
tt0116830,Last Man Standing,['murder' 'violence' 'revenge' 'neo noir' 'tragedy'],"['action' 'good versus evil' 'murder' 'neo noir' 'revenge' 'romantic'
 'violence']",4
tt0072308,The Towering Inferno,['murder' 'suspenseful' 'violence'],['cult' 'suspenseful'],1
tt1130088,Is Anybody There?,['romantic' 'flashback'],['paranormal'],0
tt0065794,The Grandmother,['fantasy' 'cute' 'storytelling'],['avant garde' 'psychedelic' 'violence'],0
tt0079714,Phantasm,['good versus evil' 'cult' 'violence' 'paranormal' 'horror' 'murder'],['cult' 'good versus evil' 'horror' 'murder'],4
tt1720616,Friends with Kids,['romantic'],['entertaining' 'romantic'],1
tt0060794,Operazione paura,['murder' 'insanity' 'gothic' 'paranormal' 'haunting'],['gothic' 'revenge'],1
tt0758784,Starting Out in the Evening,['romantic' 'sentimental'],['romantic'],1
tt0417072,Arpointeu,['violence' 'flashback'],['flashback' 'murder' 'neo noir' 'paranormal' 'revenge' 'violence'],2
tt0054289,Il sepolcro dei re,['murder'],['murder'],1
tt0212830,Bruiser,"['murder' 'violence' 'suspenseful' 'cult' 'revenge' 'sadist' 'flashback'
 'horror' 'cruelty' 'insanity']",['murder' 'revenge' 'satire'],2
tt2287677,Condado Macabro,['murder' 'violence' 'cult'],['murder' 'sadist'],1
tt1399683,Winter's Bone,['murder' 'flashback' 'revenge' 'storytelling'],"['boring' 'dramatic' 'murder' 'mystery' 'neo noir' 'revenge' 'romantic'
 'violence']",2
tt1524095,Bhutto,['historical'],['violence'],0
tt0055928,Dr. No,['murder' 'cult' 'violence' 'suspenseful'],['cult' 'good versus evil' 'murder'],2
tt3863814,Evolution's Achilles' Heels,['philosophical'],['christian film'],0
tt1316622,Wrecked,['murder' 'neo noir' 'suspenseful' 'violence' 'comedy'],['flashback' 'murder'],1
tt0082592,Just Before Dawn,['murder' 'violence' 'suspenseful' 'horror' 'cult' 'paranormal'],['cult' 'grindhouse film' 'horror' 'murder' 'suspenseful' 'violence'],5
tt0095863,Phantasm II,['violence' 'cult' 'paranormal'],['cult' 'good versus evil'],1
tt0105227,Red Shoe Diaries,['flashback' 'romantic'],['cult' 'romantic'],1
tt0758758,Into the Wild,['romantic'],"['atmospheric' 'dramatic' 'flashback' 'home movie' 'inspiring'
 'psychological' 'tragedy' 'violence']",0
tt0111507,Trois couleurs: Blanc,['murder'],"['comedy' 'cruelty' 'flashback' 'intrigue' 'murder' 'mystery'
 'psychedelic' 'revenge' 'sentimental']",1
tt0459748,Generation P,['psychedelic' 'satire'],['murder' 'satire'],1
tt0069281,Sleuth,['murder'],['cult' 'murder' 'mystery' 'psychological' 'revenge' 'suspenseful'],1
tt2177771,The Monuments Men,['suspenseful'],['action'],0
tt1656186,Stolen,['murder' 'violence' 'revenge' 'neo noir'],['comedy' 'flashback' 'murder' 'revenge' 'violence'],3
tt1981677,Pitch Perfect,['romantic' 'comedy' 'entertaining'],['entertaining'],1
tt0078346,Superman,['revenge' 'violence' 'good versus evil'],['entertaining' 'fantasy' 'good versus evil' 'humor' 'suspenseful'],1
tt0056592,To Kill a Mockingbird,['murder' 'melodrama' 'flashback'],['atmospheric' 'cute' 'depressing' 'dramatic' 'historical' 'murder'],1
tt0955308,Robin Hood,['murder' 'action' 'violence' 'historical fiction'],['flashback' 'murder' 'realism' 'revenge' 'violence'],2
tt0021749,City Lights,['romantic' 'sentimental' 'psychedelic' 'dramatic'],['comedy' 'dramatic' 'entertaining' 'melodrama' 'romantic'],2
tt0808506,Toki o kakeru shôjo,"['flashback' 'psychedelic' 'mystery' 'suspenseful' 'murder' 'boring'
 'sci-fi' 'alternate reality' 'entertaining' 'fantasy']",['atmospheric' 'cute' 'dramatic' 'psychedelic' 'romantic'],1
tt1646926,Open Season 3,['romantic'],['comedy'],0
tt0078934,Caniche,['murder' 'romantic'],['absurd'],0
tt0477302,Extremely Loud & Incredibly Close,"['flashback' 'psychedelic' 'philosophical' 'psychological' 'storytelling'
 'boring']",['flashback' 'sentimental' 'tragedy'],1
tt0054310,Sink the Bismarck!,['historical'],['historical' 'romantic'],1
tt0120185,Spice World,['satire'],['humor'],0
tt0247638,The Princess Diaries,['romantic'],['comedy' 'flashback' 'romantic'],1
tt0990361,La chambre des morts,['murder' 'flashback'],['flashback' 'revenge'],1
tt0337563,13 Going on 30,['romantic' 'flashback'],['comedy' 'feel-good' 'prank' 'romantic'],1
tt2180411,Into the Woods,['fantasy'],['fantasy'],1
tt0455407,The Crazies,"['violence' 'murder' 'cult' 'psychedelic' 'comedy' 'suspenseful' 'revenge'
 'neo noir' 'horror' 'humor']",['cult' 'insanity' 'murder' 'mystery' 'revenge' 'violence'],4
tt0087078,Conan the Destroyer,"['cult' 'good versus evil' 'fantasy' 'murder' 'action' 'revenge'
 'violence' 'entertaining' 'humor']",['alternate history' 'cult' 'fantasy' 'murder' 'violence'],4
tt0086823,V: The Final Battle,['violence' 'comedy' 'suspenseful' 'cult' 'humor' 'murder'],['brainwashing' 'murder' 'violence'],2
tt1343092,The Great Gatsby,['romantic' 'murder' 'tragedy' 'flashback' 'melodrama' 'revenge'],['tragedy'],1
tt3060952,Justice League: War,['good versus evil' 'violence' 'sci-fi'],['good versus evil'],1
tt2280302,Do You Like My Basement,['satire' 'psychedelic'],['comedy'],0
tt2190838,Stage Fright,['romantic' 'psychedelic' 'insanity' 'horror'],['murder'],0
tt0086960,Beverly Hills Cop,"['murder' 'violence' 'comedy' 'cult' 'neo noir' 'humor' 'satire'
 'entertaining']","['action' 'comedy' 'cult' 'entertaining' 'humor' 'murder' 'revenge'
 'violence']",6
tt0388482,Transporter 2,"['murder' 'violence' 'revenge' 'comedy' 'flashback' 'action' 'cult'
 'humor']",['action' 'murder' 'psychedelic' 'violence'],3
tt0083972,Friday the 13th Part III,"['violence' 'murder' 'cult' 'horror' 'sadist' 'comedy' 'revenge'
 'flashback' 'insanity' 'grindhouse film']",['cult' 'grindhouse film' 'horror' 'murder' 'violence'],5
tt0114781,Under Siege 2: Dark Territory,['violence' 'revenge'],['action' 'comedy' 'murder' 'revenge' 'violence'],2
tt0119282,Hercules,['violence' 'good versus evil' 'cult' 'revenge' 'murder'],['good versus evil' 'romantic'],1
tt0065513,La cabina,['suspenseful' 'murder' 'mystery' 'comedy' 'flashback'],['psychedelic'],0
tt0109370,Canadian Bacon,['satire' 'comedy' 'cult' 'violence' 'flashback' 'entertaining' 'humor'],['satire'],1
tt0420238,The Tale of Despereaux,['fantasy' 'good versus evil'],['fantasy'],1
tt1389096,Stand Up Guys,['murder' 'violence' 'neo noir' 'revenge' 'comedy'],['revenge'],1
tt0064276,Easy Rider,['cult' 'flashback' 'satire' 'avant garde' 'murder' 'psychedelic'],"['atmospheric' 'avant garde' 'comedy' 'cult' 'dark' 'humor' 'murder'
 'psychedelic' 'realism' 'satire']",5
tt1101051,The Waltons: A Decade of the Waltons,['flashback' 'psychedelic'],['depressing' 'flashback'],1
tt1043842,Appurushido: Ekusu makina,['violence' 'murder'],['sci-fi'],0
tt1097013,Next Day Air,['murder' 'comedy' 'violence' 'neo noir' 'suspenseful'],['bleak' 'flashback' 'murder'],1
tt0082031,Arthur,"['romantic' 'dramatic' 'sentimental' 'flashback' 'melodrama' 'depressing'
 'tragedy' 'boring']",['comedy' 'entertaining'],0
tt0119643,Meet Joe Black,"['flashback' 'romantic' 'dramatic' 'sentimental' 'boring' 'depressing'
 'storytelling']",['paranormal'],0
tt0070603,El retorno de Walpurgis,['gothic' 'revenge'],['cult' 'flashback' 'murder' 'romantic' 'violence'],0
tt0120791,Practical Magic,['fantasy'],"['comedy' 'cult' 'flashback' 'melodrama' 'paranormal' 'psychedelic'
 'romantic' 'tragedy' 'whimsical']",0
tt0196267,Cruel Intentions 2,['revenge' 'cult' 'romantic' 'comedy' 'prank' 'satire' 'sadist'],['melodrama'],0
tt0052379,War of the Satellites,['cult' 'murder'],['brainwashing'],0
tt1134854,Survival of the Dead,['violence' 'murder' 'revenge' 'flashback'],['murder' 'violence'],2
tt1059786,Eagle Eye,"['murder' 'flashback' 'suspenseful' 'violence' 'comedy' 'mystery' 'boring'
 'neo noir' 'realism' 'dramatic']",['murder'],1
tt0107282,The Joy Luck Club,['romantic' 'flashback'],['flashback' 'historical' 'romantic' 'storytelling'],2
tt0239023,Half-Life,['violence'],['alternate reality' 'violence'],1
tt0074920,Mosquito der Schänder,['cult' 'psychedelic'],['murder' 'violence'],0
tt0800080,The Incredible Hulk,['violence'],['action' 'cult' 'flashback' 'mystery' 'violence'],1
tt0061852,The Jungle Book,['flashback' 'psychedelic' 'murder'],['cute' 'entertaining'],0
tt0252866,American Pie 2,['comedy' 'entertaining' 'humor' 'adult comedy' 'prank'],['adult comedy' 'bleak' 'comedy' 'cult' 'entertaining' 'humor'],4
tt0116209,The English Patient,"['romantic' 'murder' 'dramatic' 'violence' 'boring' 'flashback'
 'historical' 'tragedy' 'action' 'sentimental']","['boring' 'flashback' 'melodrama' 'murder' 'revenge' 'romantic'
 'sentimental' 'tragedy']",6
tt0033436,Buck Privates,['romantic'],['romantic'],1
tt0268978,A Beautiful Mind,"['flashback' 'dramatic' 'sentimental' 'boring' 'storytelling'
 'psychological' 'romantic']","['cult' 'dramatic' 'flashback' 'historical' 'insanity' 'inspiring' 'prank'
 'psychological' 'romantic' 'suspenseful']",4
tt0036695,A Canterbury Tale,['violence'],['atmospheric' 'cute' 'home movie' 'romantic' 'whimsical'],0
tt3147312,Desierto,['violence' 'suspenseful' 'murder' 'flashback'],['murder'],1
tt1991245,Chernobyl Diaries,['violence' 'cult'],['cruelty' 'dark' 'murder' 'violence'],1
tt3235888,It Follows,['horror' 'murder' 'cult' 'paranormal' 'flashback'],['murder' 'paranormal' 'violence'],2
tt0082639,"Ladies and Gentlemen, the Fabulous Stains",['cult' 'romantic' 'flashback' 'revenge' 'violence' 'satire'],['cult' 'satire'],2
tt0033922,Mr. & Mrs. Smith,['romantic' 'comedy'],['comedy'],1
tt0061184,Who's Afraid of Virginia Woolf?,"['murder' 'flashback' 'dramatic' 'romantic' 'suspenseful' 'neo noir'
 'violence']",['comedy' 'cruelty' 'fantasy' 'prank' 'psychological'],0
tt2126355,San Andreas,['murder' 'flashback' 'suspenseful' 'mystery'],['flashback' 'humor' 'romantic' 'suspenseful'],2
tt0095608,Meet the Hollowheads,['comedy' 'entertaining'],['absurd' 'cult' 'psychedelic'],0
tt1067583,Water for Elephants,['flashback' 'storytelling'],['depressing' 'historical' 'historical fiction' 'romantic' 'violence'],0
tt0808357,"Se, jie",['romantic'],['cruelty' 'insanity' 'intrigue' 'murder' 'neo noir' 'violence'],0
tt0068817,Kozure Ôkami: Shinikazeni mukau ubaguruma,['violence' 'good versus evil'],['good versus evil' 'violence'],2
tt0171580,Nurse Betty,['melodrama' 'flashback' 'murder' 'satire'],"['comedy' 'cult' 'insanity' 'murder' 'neo noir' 'psychological' 'romantic'
 'satire' 'tragedy' 'violence']",2
tt0049964,World Without End,['murder'],['murder'],1
tt0120815,Saving Private Ryan,"['violence' 'murder' 'action' 'suspenseful' 'historical' 'anti war'
 'realism' 'dramatic' 'boring' 'cult']","['action' 'dark' 'dramatic' 'historical' 'murder' 'philosophical'
 'realism' 'violence']",6
tt0760311,He Was a Quiet Man,['flashback' 'paranormal' 'psychedelic' 'psychological'],['psychedelic' 'psychological' 'revenge'],2
tt0100828,The Two Jakes,['murder' 'neo noir' 'flashback' 'violence'],['flashback' 'neo noir'],2
tt0050957,The She-Creature,['murder' 'cult'],['murder' 'paranormal' 'romantic'],1
tt1591095,Insidious,['murder' 'violence' 'paranormal' 'horror'],"['alternate reality' 'atmospheric' 'boring' 'flashback' 'horror'
 'paranormal' 'psychedelic' 'suspenseful']",2
tt0050099,Action of the Tiger,['murder'],['melodrama'],0
tt0249008,Metal Gear Solid 2: Sons of Liberty,['violence'],['violence'],1
tt2267968,Kung Fu Panda 3,"['violence' 'entertaining' 'cult' 'fantasy' 'flashback' 'good versus evil'
 'humor' 'psychedelic' 'comedy' 'action']",['flashback'],1
tt1731697,The Lords of Salem,['horror' 'paranormal' 'violence'],"['flashback' 'gothic' 'grindhouse film' 'haunting' 'horror' 'murder'
 'psychedelic' 'sadist' 'violence']",2
tt0083767,Creepshow,['comedy' 'murder' 'humor' 'suspenseful'],['comedy' 'cult' 'dark' 'horror' 'psychedelic' 'revenge' 'violence'],1
tt0070012,Dying Room Only,['murder' 'violence' 'romantic' 'cult' 'neo noir'],['murder'],1
tt0482930,Lung Fu Moon,['violence' 'cult' 'good versus evil' 'action' 'revenge'],['flashback'],0
tt0796264,Eureka,['violence' 'flashback' 'murder'],['alternate reality'],0
tt1334260,Never Let Me Go,['romantic' 'flashback'],"['alternate history' 'alternate reality' 'atmospheric' 'boring'
 'depressing' 'flashback' 'romantic' 'sentimental' 'thought-provoking']",2
tt0038057,Scarlet Street,['flashback' 'romantic' 'murder'],['murder'],1
tt1499249,Lake Placid 3,['violence' 'murder'],['violence'],1
tt0060522,How to Steal a Million,"['comedy' 'dramatic' 'mystery' 'boring' 'suspenseful' 'murder' 'romantic'
 'entertaining']",['comedy'],1
tt1706593,Chronicle,['paranormal'],['action' 'clever' 'murder' 'prank' 'revenge' 'stupid' 'violence'],0
tt0494243,The Accidental Witness,['murder' 'suspenseful'],['murder' 'violence'],1
tt0095705,The Naked Gun: From the Files of Police Squad!,['comedy' 'flashback' 'cult'],"['absurd' 'brainwashing' 'comedy' 'comic' 'cult' 'entertaining' 'humor'
 'murder' 'satire']",2
tt1382250,The Heart of No Place,['flashback' 'satire' 'romantic'],['romantic'],1
tt0366758,Max Payne 2: The Fall of Max Payne,['murder' 'revenge' 'neo noir' 'violence' 'suspenseful'],['neo noir' 'revenge'],2
tt1637725,Ted,['satire' 'comedy' 'romantic' 'cult'],"['absurd' 'bleak' 'boring' 'comedy' 'entertaining' 'fantasy' 'flashback'
 'humor']",1
tt0319262,The Day After Tomorrow,['philosophical' 'boring'],['action' 'boring' 'dramatic' 'mystery' 'psychedelic'],1
tt0058450,Les parapluies de Cherbourg,['murder' 'romantic' 'comedy' 'flashback' 'neo noir'],['cult' 'romantic'],1
tt0090605,Aliens,"['violence' 'suspenseful' 'murder' 'flashback' 'horror' 'cult'
 'atmospheric' 'mystery' 'paranormal' 'psychedelic']","['action' 'atmospheric' 'cult' 'dark' 'horror' 'suspenseful' 'tragedy'
 'violence']",5
tt0097095,Coming Out,"['romantic' 'flashback' 'violence' 'dramatic' 'home movie' 'sentimental'
 'depressing']",['queer'],0
tt1860213,Dirty Grandpa,"['comedy' 'cult' 'violence' 'humor' 'entertaining' 'prank' 'satire'
 'romantic' 'flashback' 'revenge']",['adult comedy' 'violence'],1
tt0045152,Singin' in the Rain,['satire' 'romantic'],['boring' 'comedy' 'flashback' 'historical' 'romantic' 'satire'],2
tt0055058,Konga,['murder' 'cult'],['murder'],1
tt0039302,Dark Passage,['murder'],['atmospheric' 'murder'],1
tt0059415,Lásky jedné plavovlásky,['flashback' 'romantic'],['romantic'],1
tt0053291,Some Like It Hot,['romantic' 'comedy' 'neo noir'],['comedy' 'cult' 'entertaining' 'murder' 'romantic'],2
tt1276434,Van Wilder: Freshman Year,['comedy' 'cult' 'prank'],['revenge'],0
tt0109254,Beverly Hills Cop III,['violence' 'murder' 'comedy' 'cult' 'humor' 'neo noir' 'satire'],['comedy' 'comic' 'cult' 'entertaining' 'murder' 'revenge' 'violence'],4
tt0075995,Equus,['cult'],['flashback' 'insanity'],0
tt0051051,Tammy and the Bachelor,['romantic'],['romantic' 'storytelling'],1
tt0929237,Christie's Revenge,['murder' 'revenge'],['murder' 'revenge'],2
tt0105417,Sister Act,['comedy' 'cult'],['murder'],0
tt0065922,Julius Caesar,['tragedy' 'murder'],['murder' 'revenge' 'tragedy' 'violence'],2
tt1182350,You Will Meet a Tall Dark Stranger,['romantic'],['bleak' 'comedy' 'dramatic' 'flashback' 'romantic' 'satire' 'tragedy'],1
tt0462482,Population 436,['prank'],['brainwashing' 'cult' 'murder'],0
tt0772193,Primeval,['murder' 'violence'],['atmospheric' 'murder' 'violence'],2
tt0861689,Blindness,"['psychedelic' 'psychological' 'atmospheric' 'mystery' 'philosophical'
 'murder' 'dark' 'suspenseful' 'cult' 'insanity']","['allegory' 'avant garde' 'cruelty' 'murder' 'psychological' 'revenge'
 'violence']",2
tt0770214,Kabul Express,['historical'],['satire'],0
tt0118617,Anastasia,['murder' 'fantasy'],['cute' 'entertaining' 'romantic'],0
tt0326769,Biker Boyz,['cult'],['action'],0
tt0795421,Mamma Mia!,['romantic' 'entertaining'],['cult' 'flashback'],0
tt2581244,Life After Beth,['flashback' 'romantic' 'comedy' 'entertaining'],['comedy' 'dark' 'violence'],1
tt0075968,The Duellists,['violence' 'action'],['action' 'historical' 'violence'],2
tt0795461,Scary Movie 5,['paranormal'],['entertaining' 'flashback' 'paranormal'],1
tt0024216,King Kong,"['romantic' 'dramatic' 'sentimental' 'tragedy' 'boring' 'depressing'
 'murder']","['action' 'cult' 'depressing' 'horror' 'romantic' 'suspenseful'
 'thought-provoking' 'violence']",2
tt0343818,"I, Robot",['murder' 'suspenseful'],"['action' 'boring' 'entertaining' 'flashback' 'murder' 'sci-fi' 'stupid'
 'thought-provoking' 'violence']",1
tt0045063,Rabbit's Kin,['psychedelic'],['psychedelic'],1
tt1230211,Perkins' 14,['flashback' 'murder' 'revenge'],['flashback' 'murder' 'revenge' 'violence'],3
tt0810900,High School Musical 2,['romantic'],['humor'],0
tt2262227,The Book of Life,['flashback' 'murder' 'fantasy' 'romantic' 'storytelling'],['entertaining' 'romantic'],1
tt0083131,Stripes,['comedy'],['comedy' 'satire'],1
tt0082776,Ms .45,['murder' 'violence' 'cult' 'comedy' 'suspenseful'],"['cult' 'grindhouse film' 'murder' 'neo noir' 'revenge' 'suspenseful'
 'violence']",4
tt0443701,The X Files: I Want to Believe,['flashback'],['cult' 'murder' 'mystery' 'paranormal' 'romantic'],0
tt0074875,Massacre at Central High,"['murder' 'violence' 'cult' 'revenge' 'sadist' 'cruelty' 'flashback'
 'horror' 'comedy']",['cult' 'murder' 'prank' 'revenge'],3
tt0135000,Thumbelina,['fantasy' 'storytelling'],['fantasy'],1
tt0045917,Invaders from Mars,['murder'],['cult'],0
tt0066214,Performance,['murder'],['atmospheric' 'cult' 'murder' 'mystery' 'psychedelic' 'violence'],1
tt2170299,Bad Words,['flashback' 'comedy' 'dramatic' 'boring' 'entertaining' 'home movie'],['cute'],0
tt0053604,The Apartment,['romantic' 'murder' 'dramatic' 'comedy' 'sentimental' 'boring'],['comedy' 'revenge' 'romantic' 'satire'],2
tt0401997,Breach,['murder' 'comedy' 'suspenseful' 'mystery' 'neo noir'],['flashback' 'intrigue' 'murder' 'psychedelic' 'suspenseful'],2
tt0116607,If These Walls Could Talk,"['flashback' 'dramatic' 'boring' 'storytelling' 'sentimental'
 'thought-provoking' 'psychological' 'depressing' 'home movie' 'murder']",['flashback' 'murder' 'violence'],2
